time	V(out)	V(out2)	V(n001)
1.140000000000000e-08	-1.198733020458527e-03	-1.181503304280038e-03	-3.954813157766853e-03
1.160000000000000e-08	-2.157563661958482e-04	-2.004433706242370e-04	-8.072780062878669e-03
1.180000000000000e-08	4.325674337647795e-04	4.429217488352988e-04	-1.025684555518633e-02
1.200000000000000e-08	6.593687964811777e-04	6.658884427699450e-04	-9.858942059809146e-03
1.220000000000000e-08	4.676937709030177e-04	4.688655303625842e-04	-7.063760313775833e-03
1.240000000000000e-08	-3.122066912669492e-06	-4.740456703741373e-06	-2.451394260298546e-03
1.260000000000000e-08	-5.627641275533035e-04	-5.676031517425048e-04	2.739363828661408e-03
1.280000000000000e-08	-9.731318356330105e-04	-9.781838575443809e-04	7.323248740544462e-03
1.300000000000000e-08	-1.058905566279404e-03	-1.064811941877962e-03	1.006194205898220e-02
1.320000000000000e-08	-7.065381429103727e-04	-7.111275611686077e-04	1.037075718293030e-02
1.340000000000000e-08	5.733569924678764e-05	5.226523816228652e-05	8.060488344746665e-03
1.360000000000000e-08	1.116110396473920e-03	1.111557035006569e-03	3.795009687362444e-03
1.380000000000000e-08	2.243957714777049e-03	2.237323254368697e-03	-1.483585009293498e-03
1.400000000000000e-08	3.204654761891738e-03	3.196672237761840e-03	-6.372118517003627e-03
1.420000000000000e-08	3.762284646973013e-03	3.750761031716191e-03	-9.752815261895625e-03
1.440000000000000e-08	3.787542728963648e-03	3.774138824257786e-03	-1.067752416058422e-02
1.460000000000000e-08	3.245994805632478e-03	3.229806310407236e-03	-9.013942884836531e-03
1.480000000000000e-08	2.250207052487571e-03	2.234192207186190e-03	-5.060736875543544e-03
1.500000000000000e-08	9.877340538797135e-04	9.720424931212863e-04	1.251643629561289e-04
1.520000000000000e-08	-2.696864039888270e-04	-2.816057111790126e-04	5.351397163089395e-03
1.540000000000000e-08	-1.283739020662799e-03	-1.291925471320111e-03	9.220201166505499e-03
1.560000000000000e-08	-1.860224053424660e-03	-1.862164352876940e-03	1.087286251931853e-02
1.580000000000000e-08	-1.935944933547991e-03	-1.933128292316454e-03	9.785513679976720e-03
1.600000000000000e-08	-1.550916167861154e-03	-1.542535727835547e-03	6.319573598809246e-03
1.620000000000000e-08	-8.766059747126131e-04	-8.656377019764736e-04	1.214998673893441e-03
1.640000000000000e-08	-1.320220859327092e-04	-1.186550109528646e-04	-4.165782713776911e-03
1.660000000000000e-08	4.313778231354811e-04	4.439248288627182e-04	-8.586188990726516e-03
1.680000000000000e-08	6.384304588814821e-04	6.504351080921438e-04	-1.084769804221465e-02
1.700000000000000e-08	3.906769089995841e-04	3.999949934951546e-04	-1.047870493217932e-02
1.720000000000000e-08	-2.631107388622335e-04	-2.548661615657400e-04	-7.463871879970957e-03
1.740000000000000e-08	-1.183022447049771e-03	-1.176674350100301e-03	-2.635799961237842e-03
1.760000000000000e-08	-2.128546279305978e-03	-2.121573695739720e-03	2.920202163495391e-03
1.780000000000000e-08	-2.859805990640190e-03	-2.852713468841264e-03	7.731273365449287e-03
1.800000000000000e-08	-3.156234849129972e-03	-3.146931261039890e-03	1.070164477936504e-02
1.820000000000000e-08	-2.912372776120532e-03	-2.902388872560949e-03	1.097315093939671e-02
1.840000000000000e-08	-2.130639751601119e-03	-2.119290988455414e-03	8.571051677290430e-03
1.860000000000000e-08	-9.619824884810915e-04	-9.521113503945021e-04	3.989706337182496e-03
1.880000000000000e-08	3.749552416750449e-04	3.831311503595948e-04	-1.556498591554859e-03
1.900000000000000e-08	1.597310739364848e-03	1.600769672170119e-03	-6.793406044382682e-03
1.920000000000000e-08	2.470861091653929e-03	2.469920702806527e-03	-1.032860044952963e-02
1.940000000000000e-08	2.820764933119496e-03	2.813619056290738e-03	-1.136716994199705e-02
1.960000000000000e-08	2.618500557980216e-03	2.607036171264857e-03	-9.542758602563697e-03
1.980000000000000e-08	1.944598947351315e-03	1.928665377492259e-03	-5.389802560945137e-03
2.000000000000000e-08	1.009365000739988e-03	9.921782396521968e-04	1.699214770328466e-04
2.020000000000000e-08	5.955422624155435e-05	4.174832573742933e-05	5.664512378212536e-03
2.040000000000000e-08	-6.441535729976092e-04	-6.593757018065716e-04	9.829391006035087e-03
2.060000000000000e-08	-9.317620719180523e-04	-9.445129138046191e-04	1.153070004782631e-02
2.080000000000000e-08	-7.247238612503692e-04	-7.331594369570142e-04	1.042532945834935e-02
2.100000000000000e-08	-9.925499132648810e-05	-1.050456846979353e-04	6.685648256305145e-03
2.120000000000000e-08	7.774127974449974e-04	7.746778033694246e-04	1.316075716668689e-03
2.140000000000000e-08	1.645902219132327e-03	1.643667742703851e-03	-4.454541402316717e-03
2.160000000000000e-08	2.261735773254862e-03	2.260194470016486e-03	-9.105409025094338e-03
2.180000000000000e-08	2.415601543236576e-03	2.412726742409243e-03	-1.156689173664571e-02
2.200000000000001e-08	2.029741275233576e-03	2.026766095811675e-03	-1.112266528778925e-02
2.220000000000000e-08	1.139717401799011e-03	1.135963487751869e-03	-7.964657163218720e-03
2.240000000000000e-08	-7.421185495784458e-05	-7.628833242414260e-05	-2.766059672311891e-03
2.260000000000000e-08	-1.367910122560739e-03	-1.368150163473070e-03	3.106092120811930e-03
2.280000000000000e-08	-2.448248323554743e-03	-2.444073116770938e-03	8.277877091104655e-03
2.300000000000000e-08	-3.091174900910889e-03	-3.083048140043786e-03	1.137645724390544e-02
2.320000000000000e-08	-3.152204967617357e-03	-3.138884056079688e-03	1.171695268129313e-02
2.340000000000000e-08	-2.641120712447497e-03	-2.624751868108604e-03	9.104857726239179e-03
2.360000000000000e-08	-1.683921414853202e-03	-1.664957272054024e-03	4.272847193730555e-03
2.380000000000000e-08	-5.261676186835709e-04	-5.079383377190930e-04	-1.687324077019602e-03
2.400000000000000e-08	5.635620890831454e-04	5.801455363019036e-04	-7.216354077236447e-03
2.420000000000000e-08	1.320208462456853e-03	1.332246337263472e-03	-1.103243015546126e-02
2.440000000000000e-08	1.586164293909506e-03	1.593860801621864e-03	-1.208891117665061e-02
2.460000000000001e-08	1.310708168020672e-03	1.312801418760674e-03	-1.019207803903335e-02
2.480000000000000e-08	6.044434868316414e-04	6.028646938424510e-04	-5.716917151046841e-03
2.500000000000001e-08	-3.331635350884003e-04	-3.381933579048316e-04	1.552964113812475e-04
2.520000000000000e-08	-1.222011919195015e-03	-1.227713615967976e-03	6.063773669209045e-03
2.540000000000001e-08	-1.812617693182147e-03	-1.818654773125627e-03	1.046109672536543e-02
2.560000000000000e-08	-1.907999069766362e-03	-1.912309238708463e-03	1.233106647383660e-02
2.580000000000000e-08	-1.455119236384397e-03	-1.458640053277438e-03	1.110365776483067e-02
2.600000000000000e-08	-5.239965483471710e-04	-5.262047994362345e-04	7.162585336828474e-03
2.620000000000000e-08	6.744947117387638e-04	6.713905496620134e-04	1.380942660356180e-03
2.640000000000000e-08	1.873921149740702e-03	1.869706630254253e-03	-4.728830860945511e-03
2.660000000000000e-08	2.782428152695234e-03	2.774952262786887e-03	-9.748206013268592e-03
2.680000000000001e-08	3.187609096487939e-03	3.177413694605802e-03	-1.233352167693933e-02
2.700000000000000e-08	2.974709104826826e-03	2.961000181687949e-03	-1.190794550353979e-02
2.720000000000001e-08	2.196148860044266e-03	2.181030332594941e-03	-8.480925195958984e-03
2.740000000000000e-08	1.020498447596244e-03	1.004653067884532e-03	-2.981651308575076e-03
2.760000000000001e-08	-2.762384921258865e-04	-2.897585885692792e-04	3.336803681222086e-03
2.780000000000000e-08	-1.406602684184535e-03	-1.416872165408269e-03	8.825090986334607e-03
2.800000000000001e-08	-2.106508905924726e-03	-2.111140418525642e-03	1.219083412513901e-02
2.820000000000000e-08	-2.241427955062221e-03	-2.240869323817542e-03	1.251123764344645e-02
2.840000000000001e-08	-1.797625764540962e-03	-1.791354649516538e-03	9.772573692880765e-03
2.860000000000000e-08	-9.234070106292208e-04	-9.137066743642657e-04	4.554572893757640e-03
2.880000000000001e-08	1.457734843880999e-04	1.579925826183295e-04	-1.783401732989479e-03
2.900000000000000e-08	1.108669844629316e-03	1.120506421998150e-03	-7.759496427679913e-03
2.920000000000000e-08	1.708222748274722e-03	1.718977693943701e-03	-1.179676555539800e-02
2.940000000000001e-08	1.765927963167981e-03	1.773719265398058e-03	-1.297395579976096e-02
2.960000000000000e-08	1.257578556388485e-03	1.263182762526175e-03	-1.089755945107849e-02
2.980000000000001e-08	2.881430490200971e-04	2.913379882165148e-04	-6.148312847920602e-03
3.000000000000000e-08	-8.997775842347546e-04	-8.968678276918468e-04	1.934111926685241e-04
3.020000000000001e-08	-2.019355972540758e-03	-2.016168428766098e-03	6.482909623943523e-03
3.040000000000001e-08	-2.775332996191903e-03	-2.769824969783226e-03	1.123666892231647e-02
3.060000000000000e-08	-2.976100089686554e-03	-2.968574310766003e-03	1.319878806280637e-02
3.080000000000000e-08	-2.540749366440239e-03	-2.530693875949576e-03	1.193586035404303e-02
3.100000000000001e-08	-1.561053917406996e-03	-1.550459967985109e-03	7.663171514997512e-03
3.120000000000001e-08	-2.445475832219761e-04	-2.343554960018104e-04	1.503499788180292e-03
3.140000000000000e-08	1.100218253880105e-03	1.107279439769389e-03	-5.099959339255337e-03
3.160000000000001e-08	2.175694756458971e-03	2.178776846023211e-03	-1.043774633395717e-02
3.180000000000001e-08	2.731863918776118e-03	2.729220859382045e-03	-1.326134949331127e-02
3.200000000000001e-08	2.659348999600266e-03	2.651703638892728e-03	-1.276821633902662e-02
3.220000000000000e-08	1.987102525476783e-03	1.974612941699939e-03	-9.141944331610807e-03
3.240000000000001e-08	9.060311840981917e-04	8.911457261835890e-04	-3.185595608964653e-03
3.260000000000001e-08	-3.109924805152454e-04	-3.268508479515001e-04	3.560820783428436e-03
3.280000000000000e-08	-1.342981188796333e-03	-1.356952157138856e-03	9.503608889470067e-03
3.300000000000000e-08	-1.932969567092584e-03	-1.944107061753984e-03	1.307841246085512e-02
